t,alt_agl_m,vz_mps,vx_mps,vy_mps,wind_x_mps,wind_y_mps,wind_z_mps,aoa_deg,roll_deg,yaw_rate_dps,contact_flag,airspeed_mps,ground_speed_mps,pos_x_m,pos_y_m,heading_deg,battery_pct,gps_satellites,phase,system_status,comm_status,lift_coeff,drag_coeff,contact_force_n,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,scenario,ld_ratio
0.05,4999.7,-6.015,3.682,22.928,3.68,-1.34,0.17,14.29,-4.32,-4.2,0,25.04,23.22,0.18,1.15,80.9,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.103,-0.079,-9.881,-0.013,-0.001,-0.048,comm_blackout,3.86
0.1,4999.4,-6.02,3.384,23.022,3.38,-1.24,0.3,14.6,0.46,-2.45,0,25.07,23.27,0.35,2.3,81.6,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.339,-0.144,-9.404,0.021,-0.022,-0.125,comm_blackout,3.87
0.15,4999.1,-6.065,3.543,22.677,3.54,-1.58,0.33,14.77,-1.57,0.04,0,25.08,22.95,0.53,3.43,81.1,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.144,-0.054,-10.084,-0.016,-0.004,-0.047,comm_blackout,3.78
0.2,4998.8,-5.927,3.4,22.691,3.4,-1.6,0.3,14.38,0.67,-1.68,0,25.07,22.94,0.7,4.57,81.5,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.359,-0.143,-10.052,0.051,-0.004,-0.078,comm_blackout,3.87
0.25,4998.52,-5.535,3.466,22.816,3.47,-1.56,0.14,13.1,0.39,-1.15,0,25.03,23.08,0.87,5.71,81.4,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.324,-0.033,-10.009,0.0,0.006,-0.062,comm_blackout,4.17
0.3,4998.2,-6.463,3.038,22.812,3.04,-1.34,0.09,15.19,-0.35,-4.13,0,25.02,23.01,1.03,6.85,82.4,99.9,8,descent,nominal,active,0.8,0.15,0.0,-0.04,-0.209,-9.789,0.044,-0.01,-0.05,comm_blackout,3.56
0.35,4997.92,-5.555,2.724,22.977,2.72,-1.4,-0.29,12.18,0.62,-2.93,0,24.94,23.14,1.16,8.0,83.2,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.309,-0.205,-9.995,0.024,-0.009,-0.072,comm_blackout,4.17
0.4,4997.65,-5.483,2.659,23.096,2.66,-1.3,-0.57,11.4,-3.34,-0.45,0,24.88,23.25,1.29,9.15,83.4,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.394,-0.061,-9.965,0.014,0.009,-0.021,comm_blackout,4.24
0.45,4997.34,-6.087,2.253,22.925,2.25,-1.32,-0.69,12.55,-3.99,-5.47,0,24.84,23.04,1.41,10.3,84.4,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.139,-0.2,-10.219,-0.02,0.002,-0.074,comm_blackout,3.79
0.5,4997.03,-6.243,2.359,22.607,2.36,-1.6,-0.72,12.85,-1.49,-2.97,0,24.83,22.73,1.53,11.43,84.0,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.309,-0.172,-9.963,0.023,0.039,-0.064,comm_blackout,3.64
