t,alt_agl_m,vz_mps,vx_mps,vy_mps,wind_x_mps,wind_y_mps,wind_z_mps,aoa_deg,roll_deg,yaw_rate_dps,contact_flag,airspeed_mps,ground_speed_mps,pos_x_m,pos_y_m,heading_deg,battery_pct,gps_satellites,phase,system_status,comm_status,lift_coeff,drag_coeff,contact_force_n,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,scenario,ld_ratio
0.05,4999.66,-6.885,2.301,34.793,2.3,7.65,0.59,15.4,10.79,2.65,0,28.15,34.87,0.12,1.74,86.2,100.0,8,descent,nominal,active,0.8,0.18,0.0,0.146,0.786,-9.99,0.038,-0.006,0.362,crosswind_landing,5.06
0.1,4999.31,-6.918,1.826,34.795,1.83,7.66,0.88,16.05,12.71,2.34,0,28.23,34.84,0.21,3.48,87.0,100.0,8,descent,nominal,active,0.8,0.18,0.0,0.235,0.83,-9.776,0.033,0.048,0.379,crosswind_landing,5.04
0.15,4998.99,-6.384,1.64,35.207,1.64,7.94,0.74,14.65,13.11,6.35,0,28.18,35.24,0.29,5.24,87.3,100.0,8,descent,wind_warning,active,0.8,0.18,0.0,0.332,0.818,-9.679,-0.073,0.025,0.419,crosswind_landing,5.52
0.2,4998.66,-6.609,2.412,35.159,2.41,7.95,0.79,15.21,13.83,6.9,0,28.2,35.24,0.41,7.0,86.1,99.9,8,descent,wind_warning,active,0.8,0.18,0.0,0.296,0.748,-9.686,-0.015,0.001,0.411,crosswind_landing,5.33
0.25,4998.32,-6.85,2.276,35.712,2.28,8.56,0.91,15.95,16.7,4.13,0,28.24,35.78,0.52,8.78,86.4,99.9,8,descent,wind_warning,active,0.8,0.18,0.0,0.266,0.8,-10.093,0.041,-0.054,0.437,crosswind_landing,5.22
0.3,4998.01,-6.202,2.131,35.726,2.13,8.42,0.97,14.72,17.81,1.08,0,28.23,35.79,0.63,10.57,86.6,99.9,8,descent,wind_warning,active,0.8,0.18,0.0,0.282,0.79,-10.094,0.006,0.007,0.395,crosswind_landing,5.77
0.35,4997.67,-6.842,2.133,35.304,2.13,8.15,1.13,16.36,17.12,2.15,0,28.3,35.37,0.74,12.33,86.5,99.9,8,descent,wind_warning,active,0.8,0.18,0.0,0.183,0.808,-9.504,0.102,0.012,0.425,crosswind_landing,5.17
0.4,4997.38,-5.687,2.428,35.528,2.43,8.11,1.01,13.73,11.31,7.06,0,28.22,35.61,0.86,14.11,86.1,99.9,8,descent,wind_warning,active,0.8,0.18,0.0,0.138,0.74,-9.876,-0.124,-0.002,0.413,crosswind_landing,6.26
0.45,4997.09,-5.804,2.438,36.092,2.44,8.7,0.62,13.19,13.64,3.82,0,28.13,36.17,0.98,15.92,86.1,99.9,8,descent,wind_warning,active,0.8,0.18,0.0,0.197,0.709,-9.815,-0.055,-0.013,0.427,crosswind_landing,6.23
0.5,4996.74,-7.07,2.971,35.629,2.97,8.54,0.51,15.63,12.66,6.49,0,28.13,35.75,1.13,17.7,85.2,99.8,8,descent,wind_warning,active,0.8,0.18,0.0,0.246,0.718,-9.534,-0.067,-0.013,0.459,crosswind_landing,5.06
0.55,4996.42,-6.342,3.013,35.213,3.01,7.94,0.01,13.1,12.96,5.54,0,28.0,35.34,1.28,19.46,85.1,99.8,8,descent,wind_warning,active,0.8,0.18,0.0,0.352,0.827,-9.748,0.012,-0.007,0.44,crosswind_landing,5.57
0.6,4996.11,-6.306,2.843,35.212,2.84,7.93,-0.2,12.62,11.28,0.51,0,27.96,35.33,1.42,21.22,85.4,99.8,8,descent,wind_warning,active,0.8,0.18,0.0,0.228,0.829,-9.838,0.121,0.037,0.354,crosswind_landing,5.6
0.65,4995.73,-7.503,3.248,35.103,3.25,8.13,0.37,16.27,13.6,5.0,0,28.1,35.25,1.58,22.97,84.7,99.8,8,descent,wind_warning,active,0.8,0.18,0.0,0.125,0.857,-9.93,-0.044,0.007,0.428,crosswind_landing,4.7
0.7,4995.36,-7.439,2.596,35.377,2.6,8.38,0.22,15.84,13.7,0.12,0,28.06,35.47,1.71,24.74,85.8,99.8,8,descent,wind_warning,active,0.8,0.18,0.0,0.145,0.736,-9.771,0.01,-0.012,0.417,crosswind_landing,4.77
0.75,4995.04,-6.324,2.664,35.663,2.66,8.39,0.72,14.49,13.03,5.73,0,28.17,35.76,1.85,26.53,85.7,99.8,8,descent,wind_warning,active,0.8,0.18,0.0,0.138,0.896,-9.565,0.069,0.024,0.398,crosswind_landing,5.65
0.8,4994.7,-6.748,2.748,35.331,2.75,8.16,0.37,14.68,14.29,7.7,0,28.09,35.44,1.98,28.29,85.6,99.7,8,descent,wind_warning,active,0.8,0.18,0.0,-0.066,0.774,-9.774,0.05,0.02,0.397,crosswind_landing,5.25
0.85,4994.38,-6.575,2.726,35.301,2.73,8.08,0.5,14.58,11.19,5.69,0,28.12,35.41,2.12,30.06,85.6,99.7,8,descent,wind_warning,active,0.8,0.18,0.0,0.239,0.864,-10.078,0.046,0.002,0.434,crosswind_landing,5.39
0.9,4994.04,-6.738,2.828,35.045,2.83,7.87,0.51,14.93,10.49,7.3,0,28.13,35.16,2.26,31.81,85.4,99.7,8,descent,wind_warning,active,0.8,0.18,0.0,0.126,0.856,-9.822,-0.07,0.035,0.443,crosswind_landing,5.22
0.95,4993.75,-5.805,2.852,35.248,2.85,7.86,0.56,13.08,9.94,7.57,0,28.12,35.36,2.4,33.57,85.4,99.7,8,descent,wind_warning,active,0.8,0.18,0.0,-0.031,0.926,-9.988,-0.015,0.014,0.421,crosswind_landing,6.09
1.0,4993.41,-6.723,2.947,35.324,2.95,8.14,0.54,14.97,13.02,1.4,0,28.14,35.45,2.55,35.34,85.2,99.7,8,descent,wind_warning,active,0.8,0.18,0.0,0.262,0.82,-9.826,0.042,-0.0,0.407,crosswind_landing,5.27
1.05,4993.09,-6.449,2.391,35.848,2.39,8.6,0.27,13.85,10.93,2.2,0,28.06,35.93,2.67,37.13,86.2,99.7,8,descent,wind_warning,active,0.8,0.18,0.0,0.199,0.902,-10.07,0.103,0.024,0.439,crosswind_landing,5.57
1.1,4992.75,-6.857,2.554,35.822,2.55,8.67,0.2,14.57,12.42,5.32,0,28.05,35.91,2.8,38.92,85.9,99.6,8,descent,wind_warning,active,0.8,0.18,0.0,0.137,0.875,-9.944,0.049,0.017,0.4,crosswind_landing,5.24
1.15,4992.46,-5.687,2.501,36.524,2.5,9.11,0.11,11.94,11.32,4.59,0,28.02,36.61,2.92,40.75,86.1,99.6,8,descent,wind_warning,active,0.8,0.18,0.0,0.31,0.999,-9.534,0.045,0.04,0.471,crosswind_landing,6.44
1.2,4992.1,-7.162,2.635,35.371,2.64,8.3,0.39,15.59,9.15,5.17,0,28.1,35.47,3.06,42.52,85.7,99.6,8,descent,wind_warning,active,0.8,0.18,0.0,0.31,0.753,-9.867,-0.082,-0.051,0.422,crosswind_landing,4.95
1.25,4991.73,-7.442,2.976,35.444,2.98,8.45,0.74,16.85,13.42,2.82,0,28.2,35.57,3.2,44.29,85.2,99.6,8,descent,wind_warning,active,0.8,0.18,0.0,0.29,0.868,-10.245,-0.065,-0.004,0.488,crosswind_landing,4.78
1.3,4991.39,-6.907,3.063,34.955,3.06,7.82,0.78,15.81,14.75,6.44,0,28.2,35.09,3.36,46.04,85.0,99.6,8,descent,wind_warning,active,0.8,0.18,0.0,0.214,0.817,-9.954,-0.043,0.016,0.359,crosswind_landing,5.08
1.35,4991.05,-6.711,3.239,34.695,3.24,7.51,0.5,14.86,11.18,5.86,0,28.12,34.85,3.52,47.77,84.7,99.6,8,descent,wind_warning,active,0.8,0.18,0.0,0.003,0.744,-9.623,-0.009,0.021,0.336,crosswind_landing,5.19
