t,alt_agl_m,vz_mps,vx_mps,vy_mps,wind_x_mps,wind_y_mps,wind_z_mps,aoa_deg,roll_deg,yaw_rate_dps,contact_flag,airspeed_mps,ground_speed_mps,pos_x_m,pos_y_m,heading_deg,battery_pct,gps_satellites,phase,system_status,comm_status,lift_coeff,drag_coeff,contact_force_n,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,scenario,ld_ratio
0.05,4999.7,-5.909,2.767,25.46,2.77,1.17,0.21,14.14,3.51,2.14,0,25.05,25.61,0.14,1.27,83.8,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.005,0.013,-9.784,-0.009,-0.0,0.033,normal_descent,4.33
0.1,4999.41,-5.98,3.037,25.534,3.04,1.26,0.0,13.85,4.33,0.32,0,25.0,25.71,0.29,2.55,83.2,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.237,0.049,-9.634,-0.001,-0.004,0.043,normal_descent,4.3
0.15,4999.1,-6.128,2.955,25.596,2.96,1.36,0.08,14.38,3.27,2.94,0,25.02,25.77,0.44,3.83,83.4,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.241,0.17,-9.382,-0.012,-0.01,0.044,normal_descent,4.21
0.2,4998.8,-6.034,2.771,25.409,2.77,1.15,0.22,14.46,3.46,1.02,0,25.05,25.56,0.58,5.1,83.8,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.274,0.158,-9.943,0.007,0.002,0.064,normal_descent,4.24
0.25,4998.51,-5.796,2.803,25.52,2.8,1.2,0.35,14.18,0.07,2.54,0,25.08,25.67,0.72,6.38,83.7,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.054,0.095,-9.904,-0.019,-0.006,0.105,normal_descent,4.43
0.3,4998.18,-6.505,2.743,25.362,2.74,1.22,0.45,16.08,-0.72,-1.66,0,25.12,25.51,0.85,7.64,83.8,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.271,0.186,-9.88,-0.014,0.017,0.055,normal_descent,3.92
0.35,4997.87,-6.276,2.874,25.437,2.87,1.24,0.57,15.8,1.13,-0.14,0,25.15,25.6,1.0,8.92,83.6,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.157,0.136,-9.685,-0.009,0.009,0.042,normal_descent,4.08
0.4,4997.55,-6.359,2.992,25.293,2.99,1.12,0.53,15.91,-1.7,-2.34,0,25.14,25.47,1.15,10.18,83.3,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.248,0.147,-9.677,-0.003,-0.008,0.053,normal_descent,4.01
0.45,4997.23,-6.397,2.77,25.364,2.77,1.2,0.29,15.47,-0.11,-0.08,0,25.08,25.51,1.29,11.45,83.8,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.162,0.224,-9.881,0.022,-0.019,0.054,normal_descent,3.99
0.5,4996.94,-5.748,2.401,25.609,2.4,1.28,0.32,14.01,5.12,0.16,0,25.08,25.72,1.41,12.73,84.6,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.141,0.012,-9.796,-0.016,0.005,0.065,normal_descent,4.47
0.55,4996.63,-6.307,2.486,25.498,2.49,1.31,0.6,15.94,1.18,-2.1,0,25.16,25.62,1.53,14.0,84.4,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.284,0.159,-9.517,-0.036,-0.013,0.038,normal_descent,4.06
0.6,4996.34,-5.809,2.474,25.27,2.47,0.95,0.33,14.17,-2.83,1.01,0,25.08,25.39,1.65,15.27,84.4,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.231,0.163,-9.411,0.087,0.008,0.018,normal_descent,4.37
0.65,4996.03,-6.244,2.421,25.029,2.42,0.82,0.27,15.07,1.12,3.95,0,25.07,25.15,1.77,16.52,84.5,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.307,0.095,-9.842,-0.031,-0.033,0.026,normal_descent,4.03
