t,alt_agl_m,vz_mps,vx_mps,vy_mps,wind_x_mps,wind_y_mps,wind_z_mps,aoa_deg,roll_deg,yaw_rate_dps,contact_flag,airspeed_mps,ground_speed_mps,pos_x_m,pos_y_m,heading_deg,battery_pct,gps_satellites,phase,system_status,comm_status,lift_coeff,drag_coeff,contact_force_n,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,scenario,ld_ratio
0.05,4999.7,-6.01,4.295,26.412,4.3,2.14,-0.01,13.88,3.06,3.81,0,25.0,26.76,0.21,1.32,80.8,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.175,0.168,-9.384,0.015,0.007,0.075,power_anomaly,4.45
0.1,4999.4,-6.001,4.124,26.534,4.12,2.26,0.15,14.22,4.15,1.73,0,25.04,26.85,0.42,2.65,81.2,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.135,0.086,-9.668,0.033,-0.04,0.145,power_anomaly,4.47
0.15,4999.09,-6.277,4.139,26.433,4.14,2.23,0.27,15.13,2.95,1.59,0,25.07,26.75,0.63,3.97,81.1,100.0,8,descent,nominal,active,0.8,0.15,0.0,0.222,0.202,-9.714,0.076,-0.034,0.056,power_anomaly,4.26
0.2,4998.8,-5.659,3.788,26.319,3.79,1.97,0.28,13.71,1.54,-2.83,0,25.06,26.59,0.82,5.28,81.8,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.32,0.232,-9.838,0.002,0.024,0.071,power_anomaly,4.7
0.25,4998.53,-5.48,3.613,26.09,3.61,1.7,0.03,12.74,-0.99,4.73,0,25.01,26.34,1.0,6.59,82.1,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.293,0.152,-9.844,0.016,0.005,0.113,power_anomaly,4.81
0.3,4998.23,-5.969,3.781,25.697,3.78,1.42,0.18,14.21,-0.46,-0.99,0,25.04,25.97,1.19,7.87,81.6,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.213,0.117,-9.799,0.06,-0.006,0.054,power_anomaly,4.35
0.35,4997.93,-5.984,3.607,25.516,3.61,1.24,0.02,13.9,1.14,0.9,0,25.01,25.77,1.37,9.15,82.0,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.284,0.1,-9.831,-0.024,-0.026,0.088,power_anomaly,4.31
0.4,4997.63,-5.955,3.431,25.988,3.43,1.71,0.31,14.47,-2.59,-4.81,0,25.08,26.21,1.54,10.45,82.5,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.096,-0.076,-9.966,0.026,-0.021,0.12,power_anomaly,4.4
0.45,4997.34,-5.91,3.364,25.785,3.36,1.49,-0.37,12.85,0.64,4.84,0,24.92,26.0,1.71,11.74,82.6,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.134,0.206,-9.689,-0.035,0.027,0.142,power_anomaly,4.4
0.5,4997.04,-6.05,3.363,25.748,3.36,1.49,-0.23,13.5,2.58,0.59,0,24.95,25.97,1.88,13.03,82.6,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.138,0.22,-10.029,-0.009,-0.01,0.065,power_anomaly,4.29
0.55,4996.74,-5.913,3.765,25.469,3.77,1.18,-0.18,13.29,4.56,-2.03,0,24.96,25.75,2.06,14.3,81.6,99.9,8,descent,nominal,active,0.8,0.15,0.0,0.28,0.091,-10.063,0.019,-0.013,0.032,power_anomaly,4.35
0.6,4996.42,-6.305,4.007,25.366,4.01,1.17,-0.37,13.77,1.8,-1.23,0,24.91,25.68,2.26,15.57,81.0,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.026,0.112,-9.783,0.001,-0.016,0.043,power_anomaly,4.07
